Year,Title,Abstract,Keywords
2000,solving permutation constraint satisfaction problems with artificial ants," we describe in this paper ant-p-solver, a generic constraint solverbased on the ant colony optimization (aco) meta-heuristic. the aco metaheuristic takes inspiration on the observation of real ants collective foragingbehaviour. the idea is to model the problem as the searchof a best path in a graph. artificial ants walk trough this graph, ina stochastic and incomplete way, searching for good paths. artificialants communicate in a local and indirect way, by laying a pheromonetrail on the edges of the graph.ant-p-solver has been designed to solve a general classof combinatorial problems: permutation constraint satisfactionproblems, the goal of which is to find a permutation of n knownvalues, to be assigned to n variables, under some constraints. manyconstraint satisfaction problems involve such global permutationconstraints. ant-p-solver capabilities are illustrated, and comparedwith other approaches, on three of these problems, i.e., the n-queens,the all-interval series and the car-sequencing problems.  ", constraint satisfaction 
2000,estimating the hardness of optimisation," estimating computational cost is a fundamental issue intime-bounded computation. we present a method for estimating thehardness of optimisation problems (find a minimal cost solution toinstance i) by observing that of the corresponding decision problems(has i a solution of cost less than threshold t).  provided tis not too close to the optimal, decision is typically much easierthan optimisation, yet knowing the hardness of the former is usefulfor predicting the latter. the present paper reports an experimentalinvestigation of this idea, with encouraging results. an investment ofa few percent of the work required for optimisation suffices forestimation within a small factor, even using a very simpleimplementation of the method. ", search 
2000,diagnosis and diagnosability analysis using pepa," in this paper we propose the use of process algebras (and specifically pepa)as powerful frameworks for model-based diagnosis.in fact, they provide machinery and tools for buildingcomponent-oriented models, for characterizing and computingdiagnoses, and for analyzing properties such as the diagnosability of the system under investigation. "," diagnosis, model-based reasoning "
2000,a comparative analysis of ai and control theory approaches to model-based diagnosis," two distinct and parallel research communities have been working alongthe lines of the model-based diagnosis approach: the fdi community andthe dx community that have evolved in the fields of automatic controland artificial intelligence, respectively. this paper clarifies andlinks the concepts that underlie the fdi analytical redundancy approach and the dx logical approach. the formal match of the twoapproaches is demonstrated and the theoretical proof of theirequivalence is provided under various assumptions. "," diagnosis, model-based reasoning "
2000,qualitative simulation of large and complex genetic regulatory systems," modeling and simulation techniques developed within qualitativereasoning might be profitably used for the analysis of genetic regulatory systems. a major problem of current qualitative simulationtechniques is their lack of upscalability. we describe a method that is able to deal with large and complex systems, and discuss its performance in simulation experiments with random regulatory networks. "," qualitative reasoning, bioinformatics "
2000,consistency-based diagnosis of configuration knowledge bases," configuration problems are a thriving application areafor declarative knowledge representation that currently experiences a constantincrease in size and complexity of knowledge bases. automated support ofthe debugging of such knowledge bases is a necessary prerequisite foreffective development of configurators. we show that this task can beachieved by consistency based diagnosis techniques. based on the formaldefinition of consistency based configuration we develop a frameworksuitable for diagnosing configuration knowledge bases. during the testphase of configurators, valid and invalid examples are used to test thecorrectness of the system. in case such examples lead to unintendedresults, debugging of the knowledge base is initiated. the examples usedfor testing are combined to identify faulty chunks of knowledge.starting from a clear definition of diagnosis in the configurationdomain we develop an algorithm based on conflicts and exploit theproperties of positive examples to reduce consistency checks. ourframework is general enough for its straightforward adaptation todiagnosing customer requirements. given a validated knowledge base ourapproach can then be used to identify unachievable conditions duringconfiguration sessions.  "," configuration, diagnosis "
2000,uncertain temporal observations in diagnosis," in diagnosis, the notion of observation varies according to the class of considered systems. in discrete-event systems, an observation usually consists of a sequence, or a set of sequences, of totally ordered observable events. this paper extends the concept of discrete-event observation in several ways. first, observable events (messages) may be uncertain in nature, both in behavioral models and in system observations. uncertain messages are specified by variables ranging on finite sets of observable labels. second, messages relevant to a system observation are accommodated within a dag, the observation graph, whose edges define a partial temporal ordering among (uncertain) messages. this way, an observation graph implicitly defines a finite set of  system observations in the traditional sense. consequently, solving a diagnostic problem amounts to solving at one time several traditional diagnostic problems. finally, the (possibly distributed) reconstruction of the system behavior is further complicated by the fact that homonymous observable labels can be shared by different components. this raises the need of dealing with null messages. the method is appropriate for several real systems, where messages may get lost, are noisy, or attached timestamps are generated by different clocks. "," diagnosis, model-based reasoning, knowledge representation "
2000,timed automata model to improve the classification of a sequence of images," the aim of this paper is to propose the use of a dynamic plot model to improve landcover classification on a sequence of images. this new approach consists in representing the plot as a dynamic system and in modeling its evolution (knowledge about crop cycles) using the timed automata formalism. in order to refine results obtained by a traditional classifier, observations given by a preliminary classification of images are matched with expected states provided by an automaton simulation. the paper presents the modeling captured by the timed automata formalism and the general method, which is based on prediction and postdiction mechanisms, that have been adopted to improve the classification of a sequence of images. finally, the interest of the method is demonstrated through experimental results. "," model-based reasoning, temporal reasoning, image interpretation, landcover classification, dynamic plot modeling "
2000,qualitative modelling of linear networks in engineering applications," there is a real need for electrical circuit modelling and analysis tools at anintermediate level between analogue and state-based simulators.numerical tools do not capture the abstractions valued by engineers andlogical/functional models do not maintain sufficient affinities with theelectrical properties in a system.qualitative models have had some notable successes in filling this gapbut a number of difficulties pose a barrier to further progress.we describe current issues and some key problems in qualitative analysis of steady-state systems.we then present a new qualitative circuit analysismethod based on a many-valued resistance quantity space with an orders-of-magnitude relation.the results of this technique are shown to solvekey problem cases.   we argue that the new schemeopens up considerably more modelling possibilities and the methodcan be tailored to the application domain, giving powerful modelling options. "," qualitative reasoning, model-based reasoning "
2000,verification programs for abduction," we call verification the process of finding the actual explanation of a given set of manifestations.  we consider an abductive setting, in which explanations are sets of assumptions.  to filter out erroneous explanations, a verification program should propose which assumptions to check.  given the abductive setting of manifestations, assumptions, and a theory relating them, we study the complexity of providing a minimal set of assumptions to be checked in order to identify the actual explanation.  we study also the case in which assumptions to be checked are given in a tree-like order. "," abduction, diagnosis, automated reasoning "
2000,modeling java programs for diagnosis," a key advantage of model-based diagnosis is the ability to use ageneric model for the production of system descriptions that can beused to derive diagnoses for differently structured individual systemsfrom a domain.  this advantage is nowhere more apparent than in thesoftware error diagnosis (or debugging) area, where given a model,system descriptions can be automatically derived from source code.however, effective models for diagnosing programs have so far beenlimited to special-purpose languages.  we describe a value-based modelfor java programs that enables us to explicitly deal with imperativeprogram execution (including loop execution), and compare the outcomeof our approach to the results obtained by using program slicing, atraditional technique from the software debugging community, and asimple dependency-based model for java. "," diagnosis, model-based reasoning "
2000,state-based vs simulation-based diagnosis of dynamic systems ," in model-based diagnosis there is an increasing interest in the diagnosis of dynamic systems.some recent contributions in the literature show that in some cases such systems can be diagnosed with pure state-based diagnosis,i.e. reasoning on single states of the systemrather than on transitions of the system from one state to another.in this work we discuss how in a different context the same resultsdo not hold, and show how reasoning on the causality in the systemand using simulation can provide more precise diagnostic resultswith respect to state-based diagnosis.essential to this result are component fault modelsthat characterize the discontinuity in the behavior associated withabrupt faults, i.e. the sudden transition of a component fromthe correct mode of behavior to a faulty behavior. "," diagnosis, model-based reasoning, causal reasoning, qualitative reasoning "
2000,describing problem solving methods using anytime performance profiles," we propose the use of anytime performance profiles to describe thecomputational behaviour of problem solving methods. a performance profile describes how thequality of the output of an algorithm gradually increases as afunction of the computation time.  such anytime descriptions ofproblem solving methods are attractive because they allow atrade-off to be made between available computation time andoutput-quality.  it turns out that many problem solving methodsfound in the literature have a natural anytime behaviour, whichhas remained largely unexploited until now.in this paper we propose an axiomatic description of performanceprofiles.  furthermore, we give a fixed schematic form for these axiomatic descriptions. finally, we apply our proposal to anumber of realistic problem-solving methods, namely hierarchical classification (used in mdx), parametricdesign (methods from xcon and vt), and consistency-based diagnosis(the gde-method). "," knowledge acquisition, verification and validation of knowledge-based systems, resource-bounded reasoning "
2000,optimal sequential decisions in liver transplantation based on a pomdp model," the present investigation aims at the construction of a sequential decision procedure based on a partially observable markov decision process (pomdp) model. an optimal clinical management strategy based on a risk assessment of patients is to be found. a decision theoretic cost model different from the general approach has been selected for this clinical management (and classification) task: costs were determined by specifying a minimum acceptable sensitivity and specificity of the overall procedure. the aim is to find the earliest possible decision epoch where a final decision can be made under these quality restrictions. solution method is non-linear optimisation combined with a robust partial classification method. the probabilities necessary for the model are estimated from data of a clinical study in liver transplantation patients. decision epochs were at donor organ assessment, immediately before surgery and postoperatively in the intensive care unit. parameters obtained within decision epochs were combined to scores by artificial neural networks (anns). the encouraging results show the applicability of the model in the clinical setting.  "," diagnosis, planning, probabilistic networks, neural networks, machine learning, uncertainty in ai "
2000,selection of perturbation experiments for model discrimination," when a system is described by several competing models, furtherinformation about its behavior is required to distinguish betweenthem. one way to obtain such information is to perform suitably chosen perturbation experiments. this paper introduces a method for the selection of optimal perturbation experiments for discrimination among a  set of competing dynamical models. the models are assumed to have the form of semi-quantitativedifferential equations. the method employs an optimization criterion based on the entropy measure of information. "," qualitative reasoning, model-based reasoning "
2000,tree-based heuristics in modal theorem proving, we use a strong form of the tree model property to boost theperformance of resolution-based first-order theorem provers on theso-called relational translations of modal formulas.  we provide boththe mathematical underpinnings and experimental results concerning ourimproved translation method. ," automated reasoning, theorem proving, modal reasoning, tree model property "
2000,a foundation for region-based qualitative geometry," we  present   a  highly expressive   logical  language for  describingqualitative configurations of spatial regions,  based on tarski's geometry of solids, in which the  `parthood' relation and theconcept of `sphere' are taken  as primitive. we give a completeaxiom system, whose models can  be interpreted classically in terms ofcartesian spaces  over r. we show  that within  this systemthe  concept   of  sphere and  the  `congruence'  relation  areinterdefinable.  we investigate the 2nd-order  character of the theoryand prove incompletenss of some weaker 1st-order variants. "," ontologies, spatial reasoning, qualitative reasoning, representation "
2000,explaining alc subsumption," the usability of knowledge representation systems, including onesbased on description logics (dls) is considerably enhanced by theability to explain inferences to non-sophisticated users.  for dls,the ability to explain subsumption inferences is particularly useful.this is relatively natural for systems based on structural subsumptionalgorithms.  however, systems that deal with more complex logics, suchas alc, generally use tableaux algorithms, and this does not lead to anatural explanation of subsumption inferences as they are based on``refutation/unsatisfiability'' proofs of single formulae.  we proposeusing a slightly extended tableaux algorithm that, by keeping track ofthe ``undesirable'' steps involved in both the reduction of thesubsumption problem to an unsatisfiability problem and thenormalisation into negation normal form, allows the structure of theoriginal subsumption inference to be preserved.  interestingly, thetableaux proof can be represented as a sequence of rules in a simplevariant of sequent calculus.  a set of templates are then used togenerate ""surface"" explanations (in one or more steps) from each ruleapplication.  the result is a parsimonious yet understandable proofpresentation. ", description logics 
2000,using an ontology conceptualisation method to capture an advice giving system's knowledge," in order to produce effective advisory messages, knowledge coming fromdifferent research fields has to be reconciled. domain knowledge isonly part of what is needed: sociological theories of behaviour changeare of great help, and, as the messages have to be conveyed with somewording, argumentation theories are definitely crucial.  the issue ofintegrating diverse knowledge representations is among those whichhave been raised in recent years by researchers in ontologicalengineering, and various methodologies to help conceptualisingknowledge have been suggested by a number of research groups.  in thispaper we take advantage from this community experience, and apply oneof the methodologies proposed to the design of an advice giving systemwhich uses argumentation techniques to produce counselling messages inthe nutrition education domain. "," ontologies, cognitive modelling, knowledge representation "
2000,"identity, unity, and individuality: towards a formal toolkit for  ontological analysis"," we have identified several notions important to ontology in philosophy, that, with suitable formalization, have proven extremely useful tools for ontological analysis, and have become a central part of a methodology for ontology-driven conceptual analysis we are building. we present, in some detail, formalizations of two of these notions, identity and unity, and discuss how they combine to form an overall theory of individuality. we conclude with a brief example of how they can be used to check the ontological consistency of taxonomies. "," ontologies, philosophical foundations, knowledge-based systems "
2000,qualitative representation of planar outlines," a new boundary-based scheme for qualitatively representing planaroutlines is described, consisting of a set of seventeen ``atomic''tokens, and based on a combined discretisation of tangentbearing, curvature, and the rate of change of curvature.by grouping together strings of atomic tokens, higher-level primitivecurve tokens can be specified (pcts), that correspond to localisedcurve features of greater abstraction.  we show how theprimitives of existing boundary-based schemes may be defined as pcts,and how associated token ordering graphs can be constructed thatvisually encode token-string syntax, based on the ordering constraintsimplicit in a set of pct specifications. because of the atomic natureof its building blocks, we propose that the scheme can be developedinto a general framework for constructing sets of task-specificprimitives, for use in application areas such as computer vision andqualitative spatial reasoning. "," knowledge representation, spatial reasoning, qualitative reasoning "
2000,extensions of constraint solving for proof planning," the integration of constraint solvers into proof planning has pushed the  problem solving horizon.  proof planning benefits from the general  functionalities of a constraint solver such as consistency checks, constraint  inference, as well as the search for instantiations.  however, off-the-shelf  constraint solvers need to be extended in order to be be integrated  appropriately: in particular, for correctness, the context of constraints and  eigenvariable-conditions have to be taken into account. moreover, symbolic and  numeric constraint inference have to be combined. this paper discusses the  extensions, their conceptional realization, and the implementation in the  constraint solver cosie. "," theorem proving, constraint-based reasoning "
2000,qualitative spatial reasoning about line segments," representing and reasoning about orientation information is animportant aspect of qualitative spatial reasoning. we present a novelapproach for dealing with intrinsic orientation information byspecifying qualitative relations between oriented line segments, thesimplest possible spatial entities being extended and having anintrinsic direction.we identify a set of 24 atomic relations which form a relationalgebra and for which we compute relational compositions based ontheir algebraic semantics.reasoning over the full algebra turns out to be np-hard.potential applications of the calculusare motivated with a small example which shows the reasoningcapabilities of the dipole calculus using constraint-based reasoning methods. "," spatial reasoning, qualitative reasoning, constraint-based reasoning "
2000,description logics for the representation of aggregated objects," aggregated objects play an important role in many knowledge representation applications. for the adequate representation of aggregated objects, it is crucial to represent part-whole relations. we discuss properties of part-whole relations and extend the description logic alc with means for the adequate representation of part-whole relations and thus of aggregated objects. "," description logics, knowledge representation  "
2000,spatial reasoning in rcc-8 with boolean region terms," this work belongs to the field of qualitative spatialrepresentation and reasoning. we extend the expressivepower of the region connection calculus rcc-8 by allowingapplications of the 8 binary relations of rcc-8 not onlyto atomic regions but also to boolean combinations of them.it is shown that the satisfiability problem for theextended language in arbitrary topological spaces is still np; however, it becomes pspace-complete if onlyeucledean spaces are regarded as possible interpretations.in particular, in contrast to pure rcc-8, the languageis capable to distinguishing between connected annon-connected topological spaces.  "," spatial reasoning, qualitative reasoning "
