Year,Title
1989,an ounce of knowledge is worth a ton of data: quantitative studies of the trade-off between expertise and data based on statistically well-founded empirical induction.
1989,signal detection theory: valuable tools for evaluating inductive learning.
1989,unknown attribute values in induction.
1989,processing issues in comparisons of symbolic and connectionist learning systems.
1989,"bacon, data analysis and artificial intelligence."
1989,learning to plan in complex domains.
1989,an empirical analysis of ebl approaches for learning plan schemata.
1989,learning decision rules for scheduling problems: a classifier hybrid approach.
1989,learning tactical plans for pilot aiding.
1989,issues in the justification-based diagnosis of planning failures.
1989,learning procedural knowledge in the ebg context.
1989,learning invariants from explanations.
1989,using learning to recover side-effects of operators in robotics.
1989,learning to recognize plans involving affect.
1989,learning to retrieve useful information for problem solving.
1989,discovering problem solving strategies: what humans do and machines don't (yet).
1989,approximating learned search control knowledge.
1989,planning approximate plans for use in the real world.
1989,using concept hierarchies to organize plan knowledge.
1989,conceptual clustering of mean-ends plans.
1989,learning appropriate abstractions for planning in formation problems.
1989,discovering admissible search heuristics by abstracting and optimizing.
1989,learning hierarchies of abstraction spaces.
1989,learning from opportunity.
1989,learning by analyzing fortuitous occurrences.
1989,explanation-based learning of reactive operations.
1989,on becoming reactive.
1989,knowledge base refinement and theory revision.
1989,theory formation by abduction: initial results of a case study based on the chemical revolution.
1989,using domain knowledge to aid scientific theory revision.
1989,the role of experimentation in scientific theory revision.
1989,exemplar-based theory rejection: an approach to the experience consistency problem.
1989,controlling search for the consequences of new information during knowledge integration.
1989,identifying knowledge base deficiencies by observing user behavior.
1989,toward automated rational reconstruction: a case study.
1989,discovering mathematical operation definitions.
1989,imprecise concept learning within a growing language.
1989,using determinations in ebl: a solution to the incomplete theory problem.
1989,some results on the complexity of knowledge-based refinement.
1989,"knowledge base refinement as improving an incorrect, inconsistent and incomplete domain theory."
1989,incremental learning of control strategies with genetic algorithms.
1989,tower of hanoi with connectionist networks: learning new features.
1989,a formal framework for learning in embedded systems.
1989,a role for anticipation in reactive systems that learn.
1989,uncertainty based selection of learning experiences.
1989,improved training via incremental learning.
1989,incremental batch learning.
1989,incremental concept formation with composite objects.
1989,using multiple representations to improve inductive bias: gray and binary coding for genetic algorithms.
1989,focused concept formation.
1989,an exploration into incremental learning: the influence system.
1989,"incremental, instance-based learning of independent and graded concept descriptions."
1989,cost-sensitive concept learning of sensor use in approach ad recognition.
1989,reducing redundant learning.
1989,incremental clustering by minimizing representation length.
1989,information filters and their implementation in the syllog system.
1989,adaptive learning of decision-theoretic search control knowledge.
1989,atoms of learning ii: adaptive strategies a study of two-person zero-sum competition.
1989,an incremental genetic algorithm for real-time learning.
1989,participatory learning: a constructivist model.
1989,representational issues in machine learning.
1989,labor saving new distinctions.
1989,a theory of justified reformulations.
1989,reformation from state space to reduction space.
1989,knowledge-based feature generation.
1989,enriching vocabularies by generalizing explanation structures.
1989,higher-order and modal logic as a framework for explanation-based generalization.
1989,towards a formal analysis of ebl.
1989,a mathematical framework for studying representation.
1989,refining representations to improve problem solving quality.
1989,comparing systems and analyzing functions to improve constructive induction.
1989,evaluating alternative instance representations.
1989,evaluating bias during pac-learning.
1989,constructive induction framework.
1989,constructive induction by analogy.
1989,concept discovery through utilization of invariance embedded in the description language.
1989,declarative bias for structural domains.
1989,automatic construction of a hierarchical generate-and-test algorithm.
1989,a knowledge-level analysis of informing.
1989,an object-oriented representation for search algorithms.
1989,compiling learning vocabulary from a performance system description.
1989,generalized recursive splitting algorithms for learning hybrid concepts.
1989,screening hypotheses with explicit bias.
1989,building a learning bias from perceived dependencies.
1989,a bootstrapping approach to concept clustering.
1989,overcoming feature space bias in a reactive environment.
1990,knowledge acquisition from examples using maximal representation learning.
1990,kbg : a knowledge based generalizer.
1990,performance analysis of a probabilistic inductive learning system.
1990,a comparative study of id3 and backpropagation for english text-to-speech mapping.
1990,learning from data with bounded inconsistency.
1990,conceptual set covering: improving fit-and-split algorithms.
1990,incremental learning of rules and meta-rules.
1990,an incremental method for finding multivariate splits for decision trees.
1990,incremental induction of topologically minimal trees.
1990,a rational analysis of categorization.
1990,"search control, utility, and concept induction."
1990,graph clustering and model learning by data compression.
1990,an analysis of representation shift in concept learning.
1990,learning procedures by environment-driven constructive induction.
1990,beyond inversion of resolution.
1990,genetic programming.
1990,improving the performance of genetic algorithms in automated discovery of parameters.
1990,using genetic algorithms to learn disjunctive rules from examples.
1990,newboole: a fast gbml system.
1990,learning functions in k-dnf from reinforcement.
1990,is learning rate a good performance criterion for learning?
1990,active perception and reinforcement learning.
1990,learning plans for competitive domains.
1990,explanations of empirically derived reactive plans.
1990,learning and enforcement: stabilizing environments to facilitate activity.
1990,simulation-assisted learning by competition: effects of noise differences between training model and target environment.
1990,"integrated architectures for learning, planning, and reacting based on approximating dynamic programming."
1990,reducing real-world failures of approximate explanation-based rules.
1990,correcting and extending domain knowledge using outside guidance.
1990,acquisition of dynamic control knowledge for a robotic manipulator.
1990,feature extraction and clustering of tactile impressions with connectionist models.
1990,generalizing the order of goals as an approach to generalizing number.
1990,learning approximate control rules of high utility.
1990,applying abstraction and simplification to learn in intractable domains.
1990,explanation-based learning with incomplete theories: a three-step approach.
1990,using abductive recovery of failed proofs for problem solving by analogy.
1990,issues in the design of operator composition systems.
1990,incremental learning of explanation patterns and their indices.
1990,integrated learning in a real domain.
1990,incremental version-space merging.
1990,average case analysis of conjunctive learning algorithms.
1990,a framework for multi-paradigmatic learning.
1990,an integrated framework of inducing rules from examples.
1990,a general method for learning idiosyncratic grammars.
1990,a comparison of learning techniques in second language learning.
1990,learning string patterns and tree patterns from examples.
1990,learning with discrete multi-valued neurons.
1990,the general utility problem in machine learning.
1990,a robust approach to numeric discovery.
1990,more results on the complexity of knowledge base refinement: belief networks.
1991,design rationale capture as knowledge acquisition.
1991,a domain-independent framework for effective experimentation in planning.
1991,"knowledge refinement using a high level, non-technical vocabulary."
1991,improving the performance of inconsistent knowledge bases via combined optimization method.
1991,the flexibility of speculative refinement.
1991,generating error candidates for assigning blame in a knowledge base.
1991,a prototype based symbolic concept learning system.
1991,combining evidence of deep and surface similarity.
1991,the importance of causal structure and facts in evaluating explanations.
1991,ml
1991,modeling the acquisition and improvement of motor skkills.
1991,a computational model of acquisition for children's addtion strategies.
1991,internal world models and supervised learning.
1991,babel: a psychologically plausible cross-linguistic model of lexical and syntactic acquisition.
1991,the acquisition of human planning expertise.
1991,adaptive pattern-oriented chess.
1991,variability bias and category learning.
1991,a constraint-motivated model of lexical acquisition.
1991,computer modelling of acquisition orders in child language.
1991,simulating stages of human cognitive development with connectionist models.
1991,learning physics via explanation-based learning of correctness and analogical search control.
1991,incremental constructive induction: an instance-based approach.
1991,a transformational approach to constructive induction.
1991,learning variable descriptors for applying heuristics across csp problems.
1991,informed pruning in constructive induction.
1991,a hybrid method for feature generation.
1991,abstracting concepts with inverse resolution.
1991,opportunistic constructive induction.
1991,"quantifying the value of constructive induction, knowledge, and noise filtering on inductive learning."
1991,discovering production rules with higher order neural networks.
1991,constructive induction on symbolic features.
1991,comparison of methods based on inverse resolution.
1991,the need for constructive induction.
1991,constructive induction in theory refinement.
1991,constructive induction of m-of-n terms.
1991,"relations, knowledge and empirical learning."
1991,learning concepts by synthesizing minimal threshold gate networks.
1991,on the effect of instance representation on generalization.
1991,relational clichés: constraining induction during relational learning.
1991,learning polynomial functions by feature construction.
1991,constructive induction in knowledge-based neural networks.
1991,feature construction in structural decision trees.
1991,fringe-like feature construction: a comparative study and a unifying scheme.
1991,a neural network approach to constructive induction.
1991,learning in intelligent information retrieval.
1991,a probabilistic retrieval scheme for cluster-based adaptive information retrieval.
1991,classification trees for information retrieval.
1991,query formulation through knowledge acquisition.
1991,incremental learning in a probalistic information retrieval system.
1991,query learning using an ann with adaptive architecture.
1991,a goal-based approach to intelligent information retrieval.
1991,machine learning in the combination of expert opinion approach to ir.
1991,predicting actions from induction on past performance.
1991,decision-theoretic learning in an action system.
1991,on becoming decreasingly reactive: learning to deliberate minimally.
1991,learning the persistence of actions in reactive control rules.
1991,learning to avoid obstacles through reinforcement.
1991,learning football evaluation for a walking robot.
1991,the blind leading the blind: mutual refinement of approximate theories.
1991,learning to select a model in a changing world.
1991,learning from deliberated reactivity.
1991,"self-improvement based on reinforcement learning, planning and teaching."
1991,scaling reinforcement learning to robotics by exploiting the subsumption architecture.
1991,variable resolution dynamic programming.
1991,learning a set of primitive actions with an uninterpreted sensorimotor apparatus.
1991,incremental development of complex behaviors.
1991,transfer of learning across compositions of sequentail tasks.
1991,planning by incremental dynamic programming.
1991,learning a cost-sensitive internal representation for reinforcement learning.
1991,complexity and cooperation in q-learning.
1991,scaling reinforcement learning techniques via modularity.
1991,probabilistic concept formation in relational domains.
1991,experiments in non-monotonic learning.
1991,learning qualitative models of dynamic systems.
1991,an investigation of noise-tolerant relational concept learning algorithms.
1991,integrity constraints and interactive concept-learning.
1991,learning relations from noisy examples: an empirical comparison of linus and foil.
1991,inducing temporal fault diagnostic rules from a qualitative model.
1991,learning spatial relations from images.
1991,using inverse resolution to learn relations from experiments.
1991,"efficient learning of logic programs with non-determinant, non-discriminating literals."
1991,learning search control rules for planning: an inductive approach.
1991,learning constrained atoms.
1991,a knowledge-intensive approach to learning relational concepts.
1991,the consistent concept axiom.
1991,determinate literals in inductive logic programming.
1991,first-order theory revision.
1991,completeness for inductive procedures.
1991,constraints on predicate invention.
1991,revising relational domain theories.
1991,learning stochastic motifs from genetic sequences.
1991,refinement of approximate reasoning-based controllers by reinforcement learning.
1991,improving learning using causality and abduction.
1991,the ductor: a theory revision system for propositional domains.
1991,the generality of overgenerality.
1991,probabilistic evaluating of bias for learning systems.
1991,incremental refinement of approximate domain theories.
1991,an enhancer for reactive plans.
1991,a hybrid approach to guaranteed effective control strategies.
1991,revision cost for theory refinement.
1991,revision of reduced theories.
1991,refining domain theories expressed as finite-state automata.
1991,a smallest generalization step strategy.
1991,improving shared rules in multiple category domain theories.
1991,discovering regularities from large knowledge bases.
1991,learning with incrutable theories.
1991,a method for multistrategy task-adaptive learning based on plausible justifications.
1991,using background knowledge in concept formation.
1991,a study of how domain knowledge improves knowledge-based learning systems.
1991,is it a pocket or a purse? tighly coupled theory and data driven learing.
1991,identifying cost effective boundaries of operationality.
1991,machine learning in engineering automation.
1991,ml
1991,comparing stochastic planning to the acquisition of increasingly permissive plans.
1991,conceptual clustering and exploratory data analysis.
1991,megainduction: a test flight.
1991,knowledge compilation to speed up numerical optimization.
1991,model revision: a theory of incremental model learning.
1991,learning analytical knowledge about vlsi-design from observation.
1991,continous conceptual set covering: learning robot operators from examples.
1991,machine learning for nondestructive evaluation.
1991,improving recognition effectiveness of noisy texture concepts.
1991,knowledge-based equation discovery in engineering domains.
1991,design integrated learning systems for engineering design.
1991,database consistency via inductive learning.
1991,aims: an adaptive interactive modeling system for supporting engineering decision making.
1991,decision tree induction of 3-d manufacturing features.
1991,knowledge acquisition combining analytical and empirrcal techniques.
1992,generalizing from case studies: a case study.
1992,on learning more concepts.
1992,the principal axes method for constructive induction.
1992,learning by incomplete explanation-based learning.
1992,trading off consistency and efficiency in version-space induction.
1992,peepholing: choosing attributes efficiently for megainduction.
1992,improving path planning with learning.
1992,the right representation for discovery: finding the conservation of momentum.
1992,learning to predict in uncertain continuous tasks.
1992,lazy partial evaluation: an integration of explanation-based generalization and partial evaluation.
1992,a teaching method for reinforcement learning.
1992,spatial analogy and subsumption.
1992,learning to satisfy conjunctive goals.
1992,multistrategy learning with introspective meta-explanations.
1992,an asymptotic analysis of speedup learning.
1992,why ebl produces overly-specific knowledge: a critique of the prodigy approaches.
1992,automatic feature generation for problem solving systems.
1992,towards inductive generalization in higher order logic.
1992,ordering effects in clustering.
1992,learning structured concepts using genetic algorithms.
1992,an analysis of learning to plan as a search problem.
1992,an approach to anytime learning.
1992,artificial universes - towards a systematic approach to evaluation algorithms which learn form examples.
1992,average case analysis of learning kappa-cnf concepts.
1992,the mentle approach to learning heuristics for the control of logic programs.
1992,fuzzy substructure discovery.
1992,"efficient classification of massive, unsegmented datastreams."
1992,induction of one-level decision trees.
1992,combining competition and cooperation in supervised inductive learning.
1992,a practical approach to feature selection.
1992,learning as optimization: stochastic generation of multiple knowledge.
1992,dynamic optimization.
1992,sub-unification: a tool for efficient induction of recursive programs.
1992,augmenting and efficiently utilizing domain theory in explanation-based natural language acquisition.
1992,enhancing transfer in reinforcement learning by building stochastic models of robot actions.
1992,thought: an integrated learning system for acquiring knowledge structure.
1992,an approach to concept learning based on term generalization.
1992,using transitional proximity for faster reinforcement learning.
1992,nfdt: a system that learns flexible concepts based on decision trees for numerical attributes.
1992,a symbolic algorithm for computing coefficients' accuracy in regression.
1992,"compression, significance, and accuracy."
1992,guiding example acquisition by generating scenarios.
1992,constructive induction using a non-greedy strategy for feature selection.
1992,training second-order recurrent neural networks using hints.
1992,dynamic: a new role for training problems in ebl.
1992,a framework for discovering discrete event models.
1992,learning episodes for optimization.
1992,learning to fly.
1992,deconstructing the digit recognition problem.
1992,on combining multiple speedup techniques.
1992,scaling reinforcement learning algorithms by learning variable temporal resolution models.
1992,detecting novel classes with applications to fault diagnosis.
1992,measuring utility and the design of provably good ebl algorithms.
1992,refining a relational theory with multiple faults in the concept and subconcepts.
1992,cooperation in knowledge base refinement.
1992,temporal difference learning of backgammon strategy.
1992,agil: solving the exploration versus exploration dilemma in a single classifier system applied to simulated robotics.
1992,conceptual clustering with systematic missing values.
1992,selecting typical instances in instance-based learning.
1992,the first phase of real-world discovery: determining repeatability and error of experiments.
1993,the evolution of gennetic algorithms: towards massive parallelism.
1993,éléna: a bottom-up learning method.
1993,automatic algorith/model class selection.
1993,using decision trees to improve case-based learning.
1993,galois: an order-theoretic approach to conceptual clustering.
1993,multitask learning: a knowledge-based source of inductive bias.
1993,using qualitative models to guide inductive learning.
1993,automating path analysis for building causal models from data.
1993,constructing hidden variables in bayesian networks via conceptual clustering.
1993,learning symbolic rules using artificial neural networks.
1993,small disjuncts in action: learning to diagnose errors in the local loop of the telephone network.
1993,concept sharing: a means to improve multi-concept learning.
1993,discovering dynamics.
1993,synthesis of abstraction hierarchies for constraint satisfaction by clustering approximately equivalent objects.
1993,skicat: a machine learning system for automated cataloging of large scale sky surveys.
1993,learning from entailment: an application to propositional horn sentences.
1993,efficient domain-independent experimentation.
1993,learning search control knowledge for deep space network scheduling.
1993,learning procedures from interactive natural language instructions.
1993,generalization under implication by recursive anti-unification.
1993,supervised learning and divide-and-conquer: a statistical approach.
1993,hierarchical learning in stochastic domains: preliminary results.
1993,constraining learning with search control.
1993,scaling up reinforcement learning for robot control.
1993,overcoming incomplete perception with utile distinction memory.
1993,explanation based learning: a comparison of symbolic and neural network approaches.
1993,combinatorial optimization in inductive concept learning.
1993,decision theoretic subsampling for induction on large databases.
1993,learning dnf via probabilistic evidence combination.
1993,explaining and generalizing diagnostic decisions.
1993,combining instance-based and model-based learning.
1993,data mining of subjective agricultural data.
1993,lookahead feature construction for learning hard concepts.
1993,adaptive neurocontrol: how black box and simple can it be.
1993,an se-tree based characterization of the induction problem.
1993,density-adaptive learning and forgetting.
1993,efficiently inducing determinations: a complete and systematic search algorithm that uses optimal pruning.
1993,compiling bayesian networks into neural networks.
1993,a reinforcement learning method for maximizing undiscounted rewards.
1993,atm scheduling with queuing dely predictions.
1993,online learning with random representations.
1993,learning from queries and examples with tree-structured bias.
1993,multi-agent reinforcement learning: independent versus cooperative agents.
1993,better learners use analogical problem solving sparingly.
1994,a new method for predicting protein secondary structures based on stochastic tree grammars.
1994,learning recursive relations with randomly selected small training sets.
1994,improving accuracy of incorrect domain theories.
1994,greedy attribute selection.
1994,using sampling and queries to extract rules from trained neural networks.
1994,"the generate, test, and explain discovery system architecture."
1994,boosting and other machine learning algorithms.
1994,in defense of c4.5: notes in learning one-level decision trees.
1994,incremental reduced error pruning.
1994,an incremental learning approach for completable planning.
1994,learning by experimentation: incremental refinement of incomplete planning domains.
1994,learning disjunctive concepts by means of genetic algorithms.
1994,consideration of risk in reinforcement learning.
1994,rule induction for semantic query optimization.
1994,irrelevant features and the subset selection problem.
1994,an efficient subsumption algorithm for inductive logic programming.
1994,getting the most from flawed theories.
1994,heterogeneous uncertainty sampling for supervised learning.
1994,markov games as a framework for multi-agent reinforcement learning.
1994,to discount or not to discount in reinforcement learning: a case study comparing r learning and q learning.
1994,comparing methods for refining certainty-factor rule-bases.
1994,reward functions for accelerated learning.
1994,efficient algorithms for minimizing cross validation error.
1994,revision of production system rule-bases.
1994,using genetic search to refine knowledge-based neural networks.
1994,reducing misclassification costs.
1994,incremental multi-step q-learning.
1994,the minimum description length principle and categorical theories.
1994,towards a better understanding of memory-based reasoning systems.
1994,hierarchical self-organization in genetic programming.
1994,a conservation law for generalization performance.
1994,on the worst-case analysis of temporal-difference learning algorithms.
1994,a constraint-based induction algorithm in fol.
1994,learning without state-estimation in partially observable markovian decision processes.
1994,prototype and feature selection by sampling and random mutation hill climbing algorithms.
1994,a bayesian framework to integrate symbolic and neural learning.
1994,a modular q-learning architecture for manipulator task decomposition.
1994,an improved algorithm for incremental induction of decision trees.
1994,a powerful heuristic for the discovery of complex patterned behaviour.
1994,small sample decision tree pruning.
1994,combining top-down and bottom-up techniques in inductive logic programming.
1994,selective reformulation of examples in concept learning.
1994,a statistical approach to decision tree modeling.
1994,bayesian inductive logic programming.
1994,frequencies vs. biases: machine learning problems in natural language processing - abstract.
1995,on-line learning of binary lexical relations using two-dimensional weighted majority algorithms.
1995,on handling tree-structured attributed in decision tree learning.
1995,theory and applications of agnostic pac-learning with small decision trees.
1995,residual algorithms: reinforcement learning with function approximation.
1995,removing the genetics from the standard genetic algorithm.
1995,inductive learning of reactive action models.
1995,visualizing high-dimensional structure with the incremental grid growing neural network.
1995,empirical support for winnow and weighted-majority based algorithms: results on a calendar scheduling domain.
1995,automatic selection of split criterion during tree growing based on node location.
1995,a lexical based semantic bias for theory revision.
1995,a comparative evaluation of voting and meta-learning on partitioned data.
1995,fast and efficient reinforcement learning with truncated temporal differences.
1995,k*: an instance-based learner using and entropic distance measure.
1995,fast effective rule induction.
1995,text categorization and relational learning.
1995,protein folding: symbolic refinement competes with neural networks.
1995,a bayesian analysis of algorithms for learning finite functions.
1995,committee-based sampling for training probabilistic classifiers.
1995,learning prototypical concept descriptions.
1995,a case study of explanation-based control.
1995,explanation-based learning and reinforcement learning: a unified view.
1995,lessons from theory revision applied to constructive induction.
1995,supervised and unsupervised discretization of continuous features.
1995,bounds on the classification error of the nearest neighbor rule.
1995,q-learning for bandit problems.
1995,distilling reliable information from unreliable theories.
1995,a quantitative study of hypothesis selection.
1995,learning proof heuristics by adaptive parameters.
1995,efficient algorithms for finding multi-way splits for decision trees.
1995,ant-q: a reinforcement learning approach to the traveling salesman problem.
1995,stable function approximation in dynamic programming.
1995,the challenge of revising an impure theory.
1995,symbiosis in multimodal concept learning.
1995,tracking the best expert.
1995,reinforcement learning by stochastic hill climbing on discounted reward.
1995,automatic parameter selection by minimizing estimated error.
1995,error-correcting output coding corrects bias and variance.
1995,learning to make rent-to-buy decisions with systems applications.
1995,newsweeder: learning to filter netnews.
1995,hill climbing beats genetic search on a boolean circuit synthesis problem of koza's.
1995,case-based acquisition of place knowledge.
1995,comparing several linear-threshold learning algorithms on tasks involving superfluous attributes.
1995,learning policies for partially observable environments: scaling up.
1995,increasing the performance and consistency of classification trees by using the accuracy criterion at the leaves.
1995,efficient learning with virtual threshold gates.
1995,instance-based utile distinctions for reinforcement learning with hidden state.
1995,efficient learning from delayed rewards through symbiotic evolution.
1995,free to choose: investigating the sample complexity of active learning of real valued functions.
1995,on learning decision committees.
1995,inferring reduced ordered decision graphs of minimum description length.
1995,on pruning and averaging decision trees.
1995,efficient memory-based dynamic programming.
1995,using multidimensional projection to find relations.
1995,compression-based discretization of continuous attributes.
1995,mdl and categorical theories (continued).
1995,"for every generalization action, is there really an equal and opposite reaction?"
1995,active exploration and learning in real-valued spaces using multi-armed bandit allocation indices.
1995,discovering solutions with low kolmogorov complexity and high generalization capability.
1995,a comparison of induction algorithms for selective and non-selective bayesian classifiers.
1995,retrofitting decision tree classifiers using kernel density estimation.
1995,automatic speaker recognition: an application of machine learning.
1995,an inductive learning approach to prognostic prediction.
1995,td models: modeling the world at a mixture of time scales.
1995,learning collection fusion strategies for information retrieval.
1995,learning by observation and practice: an incremental approach for planning operator acquisition.
1995,learning with rare cases and small disjuncts.
1995,horizonal generalization.
1995,learning hierarchies from ambiguous natural language data.
1995,machine learning and information retrieval (abstract).
1995,learning with bayesian networks (abstract).
1995,learning for automotive collision avoidance and autonomous control.
1996,learning word association norms using tree cut pair models.
1996,k nearest neighbor classification on feature projections.
1996,residual q-learning applied to visual attention.
1996,toward a model of mind as a laissez-faire economy of idiots.
1996,learning radial basis function networks on-line.
1996,theory-guideed induction of logic programs by inference of regular languages.
1996,approximate value trees in structured dynamic programming.
1996,learning evaluation functions for large acyclic domains.
1996,simplified support vector decision rules.
1996,improving the efficiency of knowledge base refinement.
1996,algorithms and applications for multitask learning.
1996,applying the waek learning framework to understand and improve c4.5.
1996,beyond independence: conditions for the optimality of the simple bayesian classifier.
1996,constructive induction using fragmentary knowledge.
1996,relational instance-based learning.
1996,identifying the information contained in a flawed theory.
1996,learning goal oriented bayesian networks for telecommunications risk management.
1996,experiments with a new boosting algorithm.
1996,discretizing continuous attributes while learning bayesian networks.
1996,learning relational concepts with decision trees.
1996,on-line adaptation of a signal predistorter through dual reinforcement learning.
1996,applying winnow to context-sensitive spelling correction.
1996,a theoretical and empirical study of a noise-tolerant algorithm to learn geormetric patterns.
1996,nonparametric statistical methods for experimental evaluations of speedup learning.
1996,learning active classifiers.
1996,exploiting the omission of irrelevant data.
1996,speeding-up nearest neighbour memories: the template tree case memory organisation.
1996,background knowledge in ga-based concept learning.
1996,on-line portfolio selection using multiplicative updates.
1996,non-linear decision trees - ndt.
1996,negative robust learning results from horn claus programs.
1996,passive distance learning for robot navigation.
1996,bias plus variance decomposition for zero-one loss functions.
1996,toward optimal feature selection.
1996,second tier for decision trees.
1996,on the learnability of the uncomputable.
1996,a generalized reinforcement-learning model: convergence and applications.
1996,a probabilistic approach to feature selection - a filter solution.
1996,sensitive discount optimality: unifying discounted and average reward reinforcement learning.
1996,a convergent reinforcement learning algorithm in the continuous case: the finite-element reinforcement learning.
1996,searching for structure in multiple streams of data.
1996,theoretical analysis of the nearest neighbor classifier in noisy domains.
1996,unsupervised learning using mml.
1996,actual return reinforcement learning versus temporal differences: some theoretical and experimental results.
1996,representing and learning quality-improving search control knowledge.
1996,learning despite concept variation by finding structure in attribute-based data.
1996,an advanced evolution should not repeat its past errors.
1996,theory-guided empirical speedup learning of goal decomposition rules.
1996,"analogy access by mapping spreading and abstraction in large, multifunctional knowledge bases."
1996,non mean square error criteria for the training of learning machines.
1996,applying the multiple cause mixture model to text categorization.
1996,delaying the choice of bias: a disjunctive version space approach.
1996,efficient learning of selective bayesian network classifiers.
1996,learning bayesian belief networks based on the minimum description length principle: an efficient algorithm using the b & b technique.
1996,scaling up average reward reinforcement learning by approximating the domain models and the value function.
1996,experimental knowledge acquisition for planning.
1996,discovering structure in multiple learning tasks: the tc algorithm.
1996,the characterisation of predictive accuracy and decision combination.
1996,prababilistic instance-based learning.
1996,causal discovery via mml.
1996,recognition and exploitation of contextual clues via incremental meta-learning.
1996,solving pomdps with levin search and eira.
1996,representation changes for efficient learning in structural domains.
1996,data mining and machine learning (abstract).
1996,reinforcement learning in factories: the auton project (abstract).
1996,statistical theory of generalization (abstract).
1997,feature engineering and classifier selection: a case study in venusian volcano detection.
1997,robot learning from demonstration.
1997,on learning from multi-instance examples: empirical evaluation of a theoretical approach.
1997,using optimal dependency-trees for combinational optimization.
1997,the canonical distortion measure for vector quantization and function approximation.
1997,fonn: combining first order logic with connectionist learning.
1997,improving minority class prediction using case-specific feature weights.
1997,a comparative study of inductive logic programming methods for software fault prediction.
1997,learning symbolic prototypes.
1997,pac learning with constant-partition classification noise and applications to decision tree induction.
1997,efficient feature selection in conceptual clustering.
1997,knowledge acquisition form examples vis multiple models.
